Column4,common_name,scientific_name,Column1,category,Column2,Column3
269,Lead-coloured  Flycatcher,Myioparus plumbeus,,f,#N/A,#N/A
270,Grey-throated Flycatcher ,Myioparus griseigularis         ,,FF,#N/A,#N/A
277,Red-faced Woodland Warbler,Phylloscopus laetus,,FF,#N/A,#N/A
279,Yellow-throated Woodland,Phylloscopus ruficapillus,,F,#N/A,#N/A
283,Bamboo Warbler,Bradypterus alfredi,,F,#N/A,#N/A
293,Yellow-browed  Camaroptera,Camaroptera  superciliosus,,FF,#N/A,#N/A
295,Masked Apalis,Apa/is binotata,,FF,#N/A,#N/A
296,Montane Masked Apalis,Apa/is personata,,FF,#N/A,#N/A
297,Black-capped  Apalis,Apa/is nigriceps,,FF,#N/A,#N/A
299,Buff-throated  Apalis,Apa/is rufogularis,,FF,#N/A,#N/A
301,Brown-headed  Apalis,Apa/is alticola,,F,#N/A,#N/A
302,Black-headed  Apalis,Apa/is melanocephala,,FF,#N/A,#N/A
304,White-winged  Apalis,Apa/is chariessa,,FF,#N/A,#N/A
306,Collared Apalis,Apa/is ruwenzorii,,FF,#N/A,#N/A
308,Grauer's Warbler,Graueria vittata,,FF,#N/A,#N/A
310,Grey Longbill,Macrosphenus concolor,,FF,#N/A,#N/A
311,Yellow Longbill,Macrosphenus jlavicans,,FF,#N/A,#N/A
313,Short-tailed Warbler,Hemitesia neumanni,,FF,#N/A,#N/A
315,Lemon-bellied Crombec,Sylvietta denti,,FF,#N/A,#N/A
318,Brown-crowned  Eremomela,Eremomela badiceps,,F,#N/A,#N/A
319,Turner's Eremomela,Eremomela turneri,Eremomela turneri (race turneri),FF,Eremomela turneri (race turneri),#N/A
322,Abyssinian White-eye,Zosterops abyssinicus,,f,#N/A,#N/A
323,Montane White-eye,Zosterops poliogaster,,F,#N/A,#N/A
325,Stripe-breasted Tit,Parus fasciiventer,,FF,#N/A,#N/A
327,Northern Black Tit,Parus leucomelas,,f,#N/A,#N/A
330,Tit-Hylia,Pholidornis rushiae,,FF,#N/A,#N/A
332,Chestnut-capped Flycatcher,Erythrocercus mccalli,,FF,#N/A,#N/A
334,White-tailed Blue Flycatcher,Elminia albicauda,,F,#N/A,#N/A
336,White-bellied Crested Flycatcher,Trochocercus albiventris,,FF,#N/A,#N/A
339,Blue-headed Crested Flycatcher,Trochocercus nitens,,FF,#N/A,#N/A
345,Ruwenzori Batis,Batis diops  ,,F,#N/A,#N/A
346,Pale Batis,Batis soror ,,F,#N/A,#N/A
347,lturi Batis,Batis ituriensis,,FF,#N/A,#N/A
353,Red-billed Helmet-Shrike,Prionops caniceps,,FF,#N/A,#N/A
355,Chestnut-fronted Helmet-Shrike,Prionops scopifrons,,F,#N/A,#N/A
356,Mackinnon's Fiscal ,Lanius mackinnoni    ,,f,#N/A,#N/A
357,Bocage's Bush-Shrike,Malaconotus bocagei,,F,#N/A,#N/A
358,Sulphur-breasted Bush-Shrike,Malaconotus sulfureopectus,,f,#N/A,#N/A
359,Black-fronted Bush-Shrike,Malaconotus nigrifrons,,FF,#N/A,#N/A
360,Many-coloured  Bush-Shrike,Malaconotus multicolor,,FF,#N/A,#N/A
361,Doherty' s Bush-Shrike,Malconotus dohertyi,,F,#N/A,#N/A
362,Four-coloured  Bush-Shrike,Malconotus quadricolor,,F,#N/A,#N/A
363,Fiery-breasted Bush-Shrike,Malaconotus cruentus,,FF,#N/A,#N/A
364,Lagden's Bush-Shrike,Malaconotus lagdeni,,FF,#N/A,#N/A
367,Montane Sooty Boubou,Laniarius poensis,,F,#N/A,#N/A
371,Red-eyed Puffback,Dryoscopus senegalensis,,FF,#N/A,#N/A
373,Black Cuckoo-shrike,"Campephaga  fla,va",,f,#N/A,#N/A
375,Petit' s Cucko- shrike,Campephaga  petiti,,FF,#N/A,#N/A
377,Grey Cuckoo-shrike,Coracina caesia,,FF,#N/A,#N/A
382,Black-headed  Oriole,Orio/us larvatus,Oriolus larvatus,f,Oriolus larvatus,#N/A
386,Black-winged Oriole,Oriolus nigripennis,,FF,#N/A,#N/A
387,Narrow-tailed Starling,Poeoptera lugubris,,FF,#N/A,#N/A
389,Kenrick' s Starling,Poeoptera kenricki,,FF,#N/A,#N/A
392,Chestnut-winged Starling,Onychognathus  fulgidus,,FF,#N/A,#N/A
394,Purple-headed Starling,Lamprotomis purpureiceps,,F,#N/A,#N/A
398,Abbott's Starling,Cinnyricinclus femoralis,,FF,#N/A,#N/A
400,Grey-headed Sunbird,Anthreptes fraseri,,FF,#N/A,#N/A
407,Little Green Sunbird,Nectarinia seimundi,,F,#N/A,#N/A
410,Blue-headed Sunbird,Nectarinia alinae            ,,FF,#N/A,#N/A
412,Blue-throated Brown Sunbird,Nectarinia cyanolaema,,FF,#N/A,#N/A
417,Tiny Sunbird,Nectarinia minulla,,F,#N/A,#N/A
418,Greater Double-collared Sunbird,Nectarinia afra,,F,#N/A,#N/A
421,Regal Sunbird,Nectarinia regia,,F,#N/A,#N/A
426,Purple-breasted Sunbird,Nectarinia bifasciata,,F,#N/A,#N/A
438,Strange Weaver,Ploceus alienus,,F,#N/A,#N/A
445,Maxwell's Black Weaver,Ploceus albinucha,,FF,#N/A,#N/A
448,Blue-billed Malimbe,Malimbus nitens,,F,#N/A,#N/A
449,Crested Malimbe,Malimbus malimbicus,,F,#N/A,#N/A
450,Cassin' s Malimbe,Malimbus cassini,,FF,#N/A,#N/A
452,Red-fronted Antpecker,Parnwptila woodhousei,,FF,#N/A,#N/A
453,Grey-headed  Negrofinch,Nigrita canicapilla,,F,#N/A,#N/A
