Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
628,Camaroptera,Grey-backed,Camaroptera,brevicaudata,36.6235,3870,2022-11-09,6.2628,1441,2022-11-07
1189,Camaroptera,Olive-green,Camaroptera,chloronota,0.5773,61,2022-10-22,0.0782,18,2021-08-11
863,Canary,Brimstone,Crithagra,sulphurata,12.1510,1284,2022-11-05,1.9297,444,2022-11-07
4080,Canary,Papyrus,Crithagra,koliensis,0.0946,10,2021-12-11,0.0087,2,2021-08-15
4096,Canary,White-bellied,Crithagra,dorsostriata,4.6655,493,2022-11-03,0.7693,177,2022-10-27
4098,Canary,Yellow-crowned,Serinus,flavivertex,2.5457,269,2022-09-04,0.7823,180,2022-10-17
859,Canary,Yellow-fronted,Crithagra,mozambica,11.4224,1207,2022-11-05,2.4295,559,2022-10-20
2144,Cassin's,Hawk-Eagle,Aquila,africana,0.0095,1,2022-04-04,0.0043,1,2021-11-20
575,Chat,"Ant-eating ",Myrmecocichla,formicivora,0.0095,1,2019-10-09,0.0087,2,2020-10-18
2650,Chat,Anteater,Myrmecocichla,aethiops,7.7600,820,2022-11-05,2.6598,612,2022-11-07
2550,Chat,"Brown-tailed Rock",Oenanthe,scotocerca,0.7760,82,2022-09-20,0.1217,28,2022-10-08
570,Chat,Familiar,Oenanthe,familiaris,0.1325,14,2022-10-30,0.0087,2,2017-12-20
573,Chat,"Mocking Cliff",Thamnolaea,cinnamomeiventris,1.0126,107,2022-10-01,0.2260,52,2022-10-08
2552,Chat,Moorland,Pinarochroa,sordida,0.1987,21,2022-08-24,0.3998,92,2022-10-24
966,Chat,Sooty,Myrmecocichla,nigra,1.5236,161,2022-10-30,0.5693,131,2022-10-27
3456,Chatterer,Rufous,Argya,rubiginosa,7.0976,750,2022-11-05,1.1735,270,2022-10-20
14191,Chatterer,"Rufous ",Argya,rubiginosa,0.7571,80,2019-11-28,0.0782,18,2019-04-10
3440,Chatterer,Scaly,Argya,aylmeri,0.5205,55,2022-10-06,0.0739,17,2022-04-21
