SEQ,common_name,scientific_name,merged_SEQ,ADU,avibaseID,flag,comment
179,Crested Guineafowl,Guttera edouardi,,0,avibase-9D29C252,,CJ: What's the story with 'edourdi' vs 'verreauxi'?? Should there be a comment on this? Worrying that it has vanished altogether from western Kenya
180,Helmeted Guineafowl,Numida meleagris,,192,avibase-1044B438,,
181,Button Quail,Turnix sylvatica,,196,avibase-0DA8BB90,,
182,Black-rumped Button Quail,Turnix hottentota,,4128,avibase-0874B4D5,"Species not recorded during both the old and new atlas, but recorded in Kenya.",
183,Quail Plover,Ortyxelos meiffreni,,1344,avibase-B605A049,,
184,Crowned Crane,Balearica regulorum,,214,avibase-D10CAC5D,,
185,White-spotted Pygmy Crake,Sarothrura pulchra,,1944,avibase-6EF64F69,,
186,Buff-spotted Pygmy Crake,Sarothrura elegans,,206,avibase-E75BA92C,,
187,Red-chested Pygmy Crake,Sarothrura rufa,,205,avibase-10B56544,,
188,Streaky-breasted Pygmy Crake,Sarothrura boehmi,,892,avibase-EBA9F2C4,,
189,Chestnut-tailed Pygmy Crake,Sarothrura affinis,,207,avibase-D4A066EA,,
190,African Water Rail,Rallus caerulescens,,197,avibase-5B443EDE,,
191,African Crake,Crex egregia,,199,avibase-09A0F2EB,,
192,Corncrake,Crex crex,,198,avibase-7E257242,,
193,Black Crake,Limnocorax flavirostra,,203,avibase-148F0B01,,
194,Spotted Crake,Porzana porzana,,201,avibase-460708F9,,
195,Lesser Spotted Crake,Porzana pusilla,,202,avibase-34D5B04D,,
196,Striped Crake,Aenigmatolimnas marginalis,,200,avibase-13967506,,
197,Red-knobbed Coot,Fulica cristata,,212,avibase-53235FDC,,
198,Purple Gallinule,Porphyrio porphyrio,,208,avibase-865C039E,,
199,Allen's Gallinule,Porphyrio alleni,,209,avibase-53288666,,
200,Lesser Moorhen,Gallinula angulata,,211,avibase-A927C1AE,,
201,Common Moorhen,Gallinula chloropus,,210,avibase-8F82FF8C,,
202,African Finfoot,Podica senegalensis,,213,avibase-46DECAEE,,
203,White-bellied Bustard,Eupodotis senegalensis,,222,avibase-3B287014,,
204,Hartlaub's Bustard,Eupodotis hartlaubi,,1906,avibase-402E7401,This species is prone to misidentification and its maps might be affected by error.,
205,Black-bellied Bustard,Eupodotis melanogaster,,227,avibase-562F4456,This species is prone to misidentification and its maps might be affected by error.,
206,Buff-crested Bustard,Eupodotis ruficrista,,1900,avibase-968D57F9,,
207,Denham's Bustard,Neotis denhami,,219,avibase-4FDBC0CB,,
208,Heuglin's Bustard,Neotis heuglinii,,1910,avibase-4971D1EF,,
209,Kori Bustard,Otis kori,,217,avibase-4FC41CA0,,
210,Arabian Bustard,Otis arabs,,1894,avibase-6A394479,,
211,Jacana,Actophilornis africanus,,228,avibase-D16D486D,,
212,Lesser Jacana,Microparra capensis,,229,avibase-29B03FAE,,
213,Painted Snipe,Rostratula benghalensis,,230,avibase-7516E687,,
214,Oystercatcher,Haematopus ostralegus,,894,avibase-ED663165,,
215,Long-toed Plover,Vanellus crassirostris,,248,avibase-F7D5320E,,
216,African Wattled Plover,Wattled Plover,,247,avibase-074251A3,,
217,Blacksmith Plover,Vanellus armatus,,245,avibase-2F23EDC6,,
218,Spur-winged Plover,Vanellus spinosus,,1031,avibase-F5E92B22,,CJ: This has definitely spread
219,Black-headed Plover,Vanellus tectus,,2020,avibase-D531B5D3,,CJ: decline' poss due to a lack of birding in the squares where the decline is noted?
220,Crowned Plover,Vanellus coronatus,,242,avibase-D0FA8EBE,,
221,Brown-chested Wattled Plover,Vanellus superciliosus,,2018,avibase-881C954D,,
222,Senegal Plover,Vanellus lugubris,,244,avibase-42D3918F,,
223,Black-winged Plover,Vanellus melanopterus,,243,avibase-83D95620,,
224,Lesser Golden Plover,Pluvialis dominica,,1039,avibase-07C11CF3,,
225,Grey Plover,Pluvialis squatarola,,241,avibase-27903EF7,,CJ: decline in central Kenya records may reflect an overall decline in populations farther south. Would be an interesting species to dig into a bit further… 
226,Little Ringed Plover,Charadrius dubius,,955,avibase-35EC3BBF,,CJ: YES! This is surely a definite decline for this species
227,Ringed Plover,Charadrius hiaticula,,233,avibase-EDA37B7C,,
228,Kentish Plover,Charadrius alexandrinus,,2002,avibase-AA4385A2,,
229,White-fronted Sandplover,Charadrius marginatus,,235,avibase-214B3533,,
230,Chestnut-banded Sandplover,Charadrius pallidus,,236,avibase-61F0E581,,CJ: this 'spread' is surely just vagrants - is there a way of putting a comment to this effect for this type of species? Would be worth double-checking the ID of these records as well…
231,Great Sandplover,Charadrius leschenaultii,,239,avibase-98B9C10B,,
232,Mongolian Sandplover,Charadrius mongolus,,234,avibase-66DA1FB3,,
233,Caspian Plover,Charadrius asiaticus,,240,avibase-264D0351,,"CJ: Probably a true indication of a decline - though the northern squares have probably not been covered v well, I'd suspect"
234,Kittlitz's Plover,Charadrius pecuarius,,237,avibase-0F0DCC2F,,
235,Three-banded Plover,Charadrius tricollaris,,238,avibase-8DAF86A1,,
236,Red Knot,Calidris canutus,,254,avibase-B5CE8FAD,,
237,Sanderling,Calidris alba,,255,avibase-06B9BD24,,
238,Red-necked Stint,Calidris ruficollis,,897,avibase-BBDF2F1B,This species is prone to misidentification and its maps might be affected by error.,
239,Little Stint,Calidris minuta,,253,avibase-9936FF4A,,
240,Temminck's Stint,Calidris temminckii,,985,avibase-5ACF7FB3,,
241,Long-toed Stint,Calidris subminuta,,972,avibase-7D629288,This species is prone to misidentification and its maps might be affected by error.,
242,Pectoral Sandpiper,Calidris melanotos,,895,avibase-ACC99F35,,
243,Curlew Sandpiper,Calidris ferruginea,,251,avibase-143A681C,,
244,Dunlin,Calidris alpina,,896,avibase-15369E8E,This species is prone to misidentification and its maps might be affected by error.,
245,Broad-billed Sandpiper,Limicola falcinellus,,981,avibase-0A14882F,,
246,Buff-breasted Sandpiper,Tryngites subruficollis,,926,avibase-3A3C62BC,,
247,Ruff,Philomachus pugnax,,256,avibase-2DABF98F,,
248,Jack Snipe,Lymnocryptes minimus,,1988,avibase-1A15F0C6,,"CJ: Sho!! What has happened to this species?! Probably overlooked, but all the same you'd expect at least SOME records if they were around…"
249,Common Snipe,Gallinago gallinago,,957,avibase-9151E0BA,This species is prone to misidentification and its maps might be affected by error.,
250,African Snipe,Gallinago nigripennis,,250,avibase-831FC147,This species is prone to misidentification and its maps might be affected by error.,
251,Great Snipe,Gallinago media,,249,avibase-BCCD5840,,CJ: As per Jack Snipe
252,Pintail Snipe,Gallinago stenura,,1984,avibase-EE61E2CA,,CJ: As per Jack Snipe
