Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
524,578,White-necked Raven,Corvus albicollis,12.4,13.1,19.1,18.7,17.5,19.1,748,,,,,
523,580,Cape Crow,Corvus capensis,21.5,21.4,24.4,14.7,9,9,1027,,,,,
522,577,Pied Crow,Corvus albus,14.7,9.5,14.1,18.2,17.5,26,1341,,,,,
521,568,Black-headed Oriole,Oriolus larvatus,14.5,11.6,19.6,20,15.5,18.8,664,,,,,
519,573,Eurasian Golden Oriole,Oriolus oriolus,8.1,21.1,44,16.2,8.8,1.8,284,,,,,
518,567,Square-tailed Drongo,Dicrurus ludwigii,16.3,16.3,16.3,21.4,15.3,14.3,98,,,,,
517,566,Fork-tailed Drongo,Dicrurus adsimilis,14.5,14.9,20.9,18.9,14.1,16.7,1035,,,,,
516,607,Grey Cuckooshrike,Coracina caesia,14.4,19.7,27.4,14.9,13.9,9.6,208,,,,,
514,,Ashy Tit,Parus cinerascens,10.9,12.9,22.9,20.1,19.9,13.4,433,,,,,
513,604,Black Cuckooshrike,Campephaga flava,6,10.8,22.2,22,19.8,19.4,501,,,,,
511,564,Black Saw-wing,Psalidoprocne holomelaena,6.8,8.1,17.5,21.4,19.4,26.9,458,,,,,
510,548,Banded Martin,Riparia cincta,5.5,10.5,22.3,19.3,20.5,21.9,638,,,,,
509,549,Brown-throated Martin,Riparia paludicola,9.5,12.6,20,19.6,17.6,20.6,1228,,,,,
508,550,Sand Martin,Riparia riparia,6.2,23.7,36,16.6,14,3.6,308,,,,,
507,563,Common House-Martin,Delichon urbicum,5.1,14.6,29.9,22.7,19.6,8.1,841,,,,,
506,560,Rock Martin,Hirundo fuligula,14.8,12.9,20.5,20.5,15.8,15.4,1270,,,,,
504,0,South African Cliff-Swallow,Hirundo spilodera,9.6,11.2,26,19.5,14.7,19,573,,,,,
503,559,Lesser Striped Swallow,Hirundo abyssinica,11.7,11.8,21.9,20.2,16.8,17.6,643,,,,,
502,,Greater Striped Swallow,Hirundo cucullat,4.8,8.9,17.1,23.1,19.5,26.4,1300,,,,,
